,BGT,difficulty,power
227,11.0,256968772,1.0
228,1.0,260983909,1.0
229,12.0,260983909,1.0
230,10.0,260983909,1.0
231,8.0,260983909,1.0
232,25.0,252828161,1.0
233,24.0,244927280,1.0
234,3.0,248754268,1.0
235,5.0,252641053,1.0
236,10.0,252641053,1.0
237,5.0,256588569,1.0
238,11.0,256588569,1.0
239,3.0,260597765,1.0
240,8.0,260597765,1.0
241,14.0,256525924,1.0
242,15.0,252517706,1.0
243,7.0,252517706,1.0
244,9.0,252517706,1.0
245,3.0,256463295,1.0
246,2.0,260470533,1.0
247,13.0,260470533,1.0
248,2.0,264540385,1.0
249,4.0,268673828,1.0
250,10.0,268673828,1.0
251,1.0,272871856,1.0
252,1.0,277135478,1.0
253,7.0,277135478,1.0
254,14.0,272805236,1.0
255,20.0,268542654,1.0
256,7.0,268542654,1.0
257,1.0,272738632,1.0
258,22.0,264215549,1.0
259,23.0,255958813,1.0
260,1.0,259958169,1.0
261,7.0,259958169,1.0
262,12.0,259958169,1.0
263,4.0,264020015,1.0
264,25.0,255769389,1.0
265,1.0,259765785,1.0
266,9.0,259765785,1.0
267,5.0,263824625,1.0
268,25.0,255580105,1.0
269,13.0,255580105,1.0
270,7.0,255580105,1.0
271,5.0,259573544,1.0
272,3.0,263629380,1.0
273,17.0,259510170,1.0
274,21.0,251400477,1.0
275,3.0,255328609,1.0
276,18.0,251339099,1.0
277,13.0,251339099,1.0
278,8.0,251339099,1.0
279,13.0,251339099,1.0
280,8.0,251339099,1.0
281,8.0,251339099,1.0
282,11.0,251339099,1.0
283,39.0,235630405,1.0
284,6.0,239312130,1.0
285,6.0,243051382,1.0
286,9.0,243051382,1.0
287,6.0,246849059,1.0
288,10.0,246849059,1.0
289,6.0,250706075,1.0
290,13.0,250706075,1.0
291,3.0,254623357,1.0
292,10.0,254623357,1.0
293,7.0,254623357,1.0
294,7.0,254623357,1.0
295,13.0,254623357,1.0
296,7.0,254623357,1.0
297,7.0,254623357,1.0
298,16.0,250644867,1.0
299,9.0,250644867,1.0
300,7.0,250644867,1.0
301,20.0,246728540,1.0
302,9.0,246728540,1.0
303,6.0,250583673,1.0
304,3.0,254499042,1.0
305,5.0,258475589,1.0
306,24.0,250398226,1.0
307,16.0,246485753,1.0
308,38.0,231080393,1.0
309,5.0,234691024,1.0
310,4.0,238358071,1.0
311,12.0,238358071,1.0
312,16.0,234633726,1.0
313,5.0,238299877,1.0
314,35.0,223406134,1.0
315,18.0,219915413,1.0
316,1.0,223351591,1.0
317,4.0,226841459,1.0
318,1.0,230385856,1.0
319,5.0,233985635,1.0
320,2.0,237641660,1.0
321,23.0,230215358,1.0
322,5.0,233812472,1.0
323,1.0,237465791,1.0
324,5.0,241176193,1.0
325,20.0,237407814,1.0
326,18.0,233698316,1.0
327,2.0,237349852,1.0
328,2.0,241058443,1.0
329,7.0,241058443,1.0
330,4.0,244824981,1.0
331,9.0,244824981,1.0
332,8.0,244824981,1.0
333,4.0,248650371,1.0
334,3.0,252535533,1.0
335,12.0,252535533,1.0
336,4.0,256481400,1.0
337,13.0,256481400,1.0
338,6.0,260488921,1.0
339,5.0,264559060,1.0
340,9.0,264559060,1.0
341,1.0,268692795,1.0
342,20.0,264494470,1.0
343,20.0,260361743,1.0
344,2.0,264429895,1.0
345,27.0,256166460,1.0
346,15.0,252163859,1.0
347,10.0,252163859,1.0
348,21.0,244283738,1.0
349,11.0,244283738,1.0
350,8.0,244283738,1.0
351,13.0,244283738,1.0
352,2.0,248100671,1.0
353,4.0,251977243,1.0
354,6.0,255914387,1.0
355,2.0,259913049,1.0
356,13.0,259913049,1.0
357,58.0,231485059,1.0
358,15.0,227868104,1.0
359,1.0,231428543,1.0
360,4.0,235044613,1.0
361,2.0,238717185,1.0
362,3.0,242447141,1.0
363,38.0,227294194,1.0
364,7.0,227294194,1.0
365,1.0,230845665,1.0
366,13.0,230845665,1.0
367,11.0,230845665,1.0
368,2.0,234452628,1.0
369,5.0,238115950,1.0
370,5.0,241836511,1.0
371,30.0,230500424,1.0
372,21.0,223297285,1.0
373,1.0,226786305,1.0
374,6.0,230329841,1.0
375,22.0,223132033,1.0
376,16.0,219645594,1.0
377,7.0,219645594,1.0
378,1.0,223077556,1.0
379,4.0,226563142,1.0
380,7.0,226563142,1.0
381,2.0,230103191,1.0
382,2.0,233698553,1.0
383,13.0,233698553,1.0
384,14.0,230047013,1.0
385,5.0,233641497,1.0
386,1.0,237292145,1.0
387,4.0,240999834,1.0
388,10.0,240999834,1.0
389,11.0,240999834,1.0
390,22.0,233468589,1.0
391,2.0,237116535,1.0
392,1.0,240821480,1.0
393,22.0,233295808,1.0
394,3.0,236941055,1.0
395,14.0,233238851,1.0
396,7.0,233238851,1.0
397,3.0,236883208,1.0
398,7.0,236883208,1.0
399,31.0,225779307,1.0
400,14.0,222251505,1.0
401,20.0,218778825,1.0
402,1.0,222197244,1.0
403,17.0,218725412,1.0
404,7.0,218725412,1.0
405,1.0,222142996,1.0
406,13.0,222142996,1.0
407,15.0,218672011,1.0
408,15.0,215255260,1.0
409,6.0,218618623,1.0
410,5.0,222034538,1.0
411,2.0,225503827,1.0
412,1.0,229027324,1.0
413,3.0,232605875,1.0
414,7.0,232605875,1.0
415,4.0,236240341,1.0
416,11.0,236240341,1.0
417,3.0,239931596,1.0
418,11.0,239931596,1.0
419,28.0,228684802,1.0
420,5.0,232258002,1.0
421,11.0,232258002,1.0
422,1.0,235887033,1.0
423,5.0,239572767,1.0
424,8.0,239572767,1.0
425,2.0,243316091,1.0
426,6.0,247117904,1.0
427,1.0,250979121,1.0
428,6.0,254900669,1.0
429,4.0,258883491,1.0
430,1.0,262928545,1.0
431,12.0,262928545,1.0
432,4.0,267036803,1.0
433,2.0,271209253,1.0
434,3.0,275446897,1.0
435,7.0,275446897,1.0
436,1.0,279750754,1.0
437,9.0,279750754,1.0
438,38.0,262266331,1.0
439,2.0,266364242,1.0
440,7.0,266364242,1.0
441,12.0,266364242,1.0
442,8.0,266364242,1.0
443,1.0,270526183,1.0
444,5.0,274753154,1.0
445,4.0,279046172,1.0
446,19.0,274686075,1.0
447,7.0,274686075,1.0
448,5.0,278978044,1.0
449,25.0,270259980,1.0
450,14.0,266037167,1.0
451,2.0,270193997,1.0
452,5.0,274415778,1.0
453,15.0,270128031,1.0
454,8.0,270128031,1.0
455,1.0,274348781,1.0
456,19.0,270062081,1.0
457,3.0,274281801,1.0
458,1.0,278567454,1.0
459,22.0,269862221,1.0
460,17.0,265645623,1.0
461,8.0,265645623,1.0
462,1.0,269796335,1.0
463,6.0,274011902,1.0
464,3.0,278293337,1.0
465,7.0,278293337,1.0
466,1.0,282641670,1.0
467,5.0,287057946,1.0
468,1.0,291543226,1.0
469,2.0,296098588,1.0
470,13.0,296098588,1.0
471,4.0,300725128,1.0
472,10.0,300725128,1.0
473,13.0,300725128,1.0
474,22.0,291327467,1.0
475,14.0,286775475,1.0
476,4.0,291256341,1.0
477,7.0,291256341,1.0
478,11.0,291256341,1.0
479,16.0,286705460,1.0
480,1.0,291185232,1.0
481,3.0,295735001,1.0
482,44.0,272630704,1.0
483,11.0,272630704,1.0
484,9.0,272630704,1.0
485,7.0,272630704,1.0
486,4.0,276890558,1.0
487,1.0,281216972,1.0
488,31.0,268034926,1.0
489,16.0,263846880,1.0
490,4.0,267969487,1.0
491,1.0,272156510,1.0
492,16.0,267904064,1.0
493,10.0,267904064,1.0
494,4.0,272090065,1.0
495,10.0,272090065,1.0
496,25.0,263587250,1.0
497,6.0,267705800,1.0
498,4.0,271888703,1.0
499,4.0,276136963,1.0
500,27.0,267507682,1.0
501,54.0,242428836,1.0
502,8.0,242428836,1.0
503,2.0,246216786,1.0
504,5.0,250063923,1.0
505,1.0,253971171,1.0
506,4.0,257939470,1.0
507,26.0,249878861,1.0
508,8.0,249878861,1.0
509,4.0,253783218,1.0
510,10.0,253783218,1.0
511,4.0,257748580,1.0
512,9.0,257748580,1.0
